Datetime;bid;ask
2017-04-27 19:58:12;1288.03;1290.75
2017-04-27 19:58:15;1288.05;1290.75
2017-04-27 19:58:18;1288.07;1290.75
2017-04-27 19:58:21;1288.09;1290.75
2017-04-27 19:58:24;1288.09;1290.75
2017-04-27 19:58:27;1288.09;1290.75
2017-04-27 19:58:30;1288.1;1290.75
2017-04-27 19:58:33;1287.93;1290.75
2017-04-27 19:58:36;1288.2;1290.75
2017-04-27 19:58:39;1289.96;1290.75
2017-04-27 19:58:42;1289.96;1290.75
2017-04-27 19:58:45;1289.96;1290.75
2017-04-27 19:58:48;1289.96;1290.75
2017-04-27 19:58:51;1289.96;1290.75
2017-04-27 19:58:54;1289.96;1290.75
2017-04-27 19:58:57;1289.96;1290.75
2017-04-27 20:00:42;1289.07;1290.7
2017-04-27 20:00:45;1289.07;1290.7
2017-04-27 20:00:48;1289.07;1290.7
2017-04-27 20:00:51;1289.07;1290.7
2017-04-27 20:00:54;1289.07;1290.7
2017-04-27 20:00:57;1289.07;1290.7
2017-04-27 20:01:00;1289.07;1290.7
2017-04-27 20:01:03;1289.08;1290.7
2017-04-27 20:01:06;1289.1;1290.7
2017-04-27 20:01:09;1289.13;1290.8
2017-04-27 20:01:12;1289.16;1290.8
2017-04-27 20:01:15;1289.19;1290.81
2017-04-27 20:01:18;1289.2;1290.81
2017-04-27 20:01:21;1289.23;1290.8
2017-04-27 20:01:24;1289.26;1290.8
2017-04-27 20:01:27;1289.29;1290.8
2017-04-27 20:01:30;1289.31;1290.81
2017-04-27 20:01:33;1289.32;1290.81
2017-04-27 20:01:36;1289.36;1290.81
2017-04-27 20:01:39;1289.38;1290.81
2017-04-27 20:01:42;1289.42;1290.81
2017-04-27 20:01:45;1289.44;1290.81
2017-04-27 20:01:48;1289.48;1290.81
2017-04-27 20:01:51;1289.49;1290.81
2017-04-27 20:01:54;1289.51;1290.81
2017-04-27 20:01:57;1289.54;1290.81
2017-04-27 20:02:00;1289.56;1290.81
2017-04-27 20:02:03;1289.57;1290.81
2017-04-27 20:02:06;1289.58;1290.81
2017-04-27 20:02:09;1289.59;1290.8
2017-04-27 20:02:12;1289.59;1290.81
2017-04-27 20:02:15;1289.59;1290.81
2017-04-27 20:02:18;1289.59;1290.81
2017-04-27 20:02:21;1289.59;1290.81
2017-04-27 20:02:24;1289.59;1290.81
2017-04-27 20:02:27;1289.59;1290.81
2017-04-27 20:02:30;1289.59;1290.81
2017-04-27 20:02:33;1289.59;1290.81
2017-04-27 20:02:36;1289.59;1290.81
2017-04-27 20:02:39;1289.59;1290.81
2017-04-27 20:02:42;1289.59;1290.81
2017-04-27 20:02:45;1289.59;1290.81
2017-04-27 20:02:48;1289.59;1290.81
2017-04-27 20:02:51;1289.59;1290.81
2017-04-27 20:02:54;1289.59;1290.81
2017-04-27 20:02:57;1289.59;1290.81
2017-04-27 20:03:00;1289.59;1290.81
2017-04-27 20:03:03;1289.59;1290.81
2017-04-27 20:03:06;1289.59;1290.81
2017-04-27 20:03:09;1289.59;1290.81
2017-04-27 20:03:12;1289.6;1290.81
2017-04-27 20:03:15;1289.61;1290.81
2017-04-27 20:03:18;1289.64;1290.81
2017-04-27 20:03:21;1289.67;1290.81
2017-04-27 20:03:24;1289.7;1290.81
2017-04-27 20:03:27;1289.74;1291.7
2017-04-27 20:03:30;1289.76;1291.7
2017-04-27 20:03:33;1289.78;1291.7
2017-04-27 20:03:36;1289.81;1291.7
2017-04-27 20:03:39;1289.84;1291.7
2017-04-27 20:03:42;1289.87;1291.7
2017-04-27 20:03:45;1289.9;1291.7
2017-04-27 20:03:48;1289.92;1291.7
2017-04-27 20:03:51;1289.93;1291.7
2017-04-27 20:03:54;1289.96;1291.7
2017-04-27 20:03:57;1289.96;1291.7
2017-04-27 20:04:00;1289.98;1291.7
2017-04-27 20:04:03;1290;1291.7
2017-04-27 20:04:06;1290.02;1291.7
2017-04-27 20:04:09;1290.04;1291.7
2017-04-27 20:04:12;1290.06;1291.7
2017-04-27 20:04:15;1290.07;1291.7
2017-04-27 20:04:18;1290.08;1291.7
2017-04-27 20:04:21;1290.11;1291.7
2017-04-27 20:04:24;1290.14;1291.7
2017-04-27 20:04:27;1289.96;1291.7
2017-04-27 20:04:30;1289.98;1291.7
2017-04-27 20:04:33;1290.01;1291.7
2017-04-27 20:04:36;1290.02;1291.7
2017-04-27 20:04:39;1290.04;1291.7
2017-04-27 20:04:42;1290.07;1291.7
2017-04-27 20:04:45;1290.09;1291.7
2017-04-27 20:04:48;1290.12;1291.7
2017-04-27 20:04:51;1290.14;1291.7
2017-04-27 20:04:54;1290.16;1291.7
2017-04-27 20:04:57;1290.17;1291.7
2017-04-27 20:05:00;1290.18;1291.7
2017-04-27 20:05:03;1290.18;1291.68
2017-04-27 20:05:06;1290.18;1291.64
2017-04-27 20:05:09;1290.18;1291.64
2017-04-27 20:05:12;1289.95;1291.63
2017-04-27 20:05:15;1289.95;1291.63
2017-04-27 20:05:18;1289.95;1291.63
2017-04-27 20:05:21;1289.95;1291.61
2017-04-27 20:05:24;1289.95;1291.61
2017-04-27 20:05:27;1289.95;1291.59
2017-04-27 20:05:30;1289.95;1291.57
2017-04-27 20:05:33;1289.95;1291.55
2017-04-27 20:05:36;1289.95;1291.53
2017-04-27 20:05:39;1289.95;1291.52
2017-04-27 20:05:42;1289.95;1291.47
2017-04-27 20:05:45;1289.95;1291.46
2017-04-27 20:05:48;1289.95;1291.67
2017-04-27 20:05:51;1289.95;1291.65
2017-04-27 20:05:54;1289.95;1291.63
2017-04-27 20:05:57;1289.95;1291.63
2017-04-27 20:06:00;1289.95;1291.62
2017-04-27 20:06:03;1289.95;1291.62
2017-04-27 20:06:06;1289.95;1291.62
2017-04-27 20:06:09;1289.95;1291.62
2017-04-27 20:06:12;1289.95;1291.62
2017-04-27 20:06:15;1289.95;1291.62
2017-04-27 20:06:18;1289.95;1291.62
2017-04-27 20:06:21;1289.95;1291.62
2017-04-27 20:06:24;1289.95;1291.62
2017-04-27 20:06:27;1289.96;1291.62
2017-04-27 20:06:30;1289.96;1291.62
2017-04-27 20:06:33;1289.96;1291.62
2017-04-27 20:06:36;1289.96;1291.62
2017-04-27 20:06:39;1289.96;1291.62
2017-04-27 20:06:42;1289.96;1291.62
2017-04-27 20:06:45;1289.96;1291.62
2017-04-27 20:06:48;1289.96;1291.62
2017-04-27 20:06:51;1289.96;1291.62
2017-04-27 20:06:54;1289.96;1291.62
2017-04-27 20:06:57;1289.96;1291.62
2017-04-27 20:07:00;1289.96;1291.62
2017-04-27 20:07:03;1289.96;1291.62
2017-04-27 20:07:06;1289.96;1291.62
2017-04-27 20:07:09;1289.96;1291.62
2017-04-27 20:07:12;1289.96;1291.62
2017-04-27 20:07:15;1289.96;1291.62
2017-04-27 20:07:18;1289.96;1291.62
2017-04-27 20:07:21;1289.96;1291.62
2017-04-27 20:07:24;1289.96;1291.62
2017-04-27 20:07:27;1289.96;1291.62
2017-04-27 20:07:30;1289.96;1291.62
2017-04-27 20:07:33;1289.96;1291.62
2017-04-27 20:07:36;1289.96;1291.62
2017-04-27 20:07:39;1289.96;1291.62
2017-04-27 20:07:42;1289.96;1291.62
2017-04-27 20:07:45;1289.96;1291.62
2017-04-27 20:07:48;1289.96;1291.62
2017-04-27 20:07:51;1289.96;1291.62
2017-04-27 20:07:54;1289.96;1291.62
2017-04-27 20:07:57;1289.96;1291.62
2017-04-27 20:08:00;1289.96;1291.62
2017-04-27 20:08:03;1289.96;1291.62
2017-04-27 20:08:06;1289.96;1291.62
2017-04-27 20:08:09;1289.98;1291.62
2017-04-27 20:08:12;1290.01;1291.7
2017-04-27 20:08:15;1290.04;1291.7
2017-04-27 20:08:18;1290.05;1291.7
2017-04-27 20:08:21;1290.06;1291.7
2017-04-27 20:08:24;1290.06;1291.7
2017-04-27 20:08:27;1290.07;1291.7
2017-04-27 20:08:30;1290.08;1291.7
2017-04-27 20:08:33;1290.1;1291.7
2017-04-27 20:08:36;1290.13;1291.7
2017-04-27 20:08:39;1290.16;1291.7
2017-04-27 20:08:42;1290.18;1291.7
2017-04-27 20:08:45;1290.21;1291.7
2017-04-27 20:08:48;1290.22;1291.7
2017-04-27 20:08:51;1290.22;1291.7
2017-04-27 20:08:54;1290.24;1291.7
2017-04-27 20:08:57;1290.27;1291.7
2017-04-27 20:09:00;1290.27;1291.7
2017-04-27 20:09:03;1290.27;1291.7
2017-04-27 20:09:06;1290.28;1291.7
2017-04-27 20:09:09;1290.31;1291.7
2017-04-27 20:09:12;1290.33;1291.7
2017-04-27 20:09:15;1290.34;1291.7
2017-04-27 20:09:18;1290.35;1291.7
2017-04-27 20:09:21;1290.37;1291.7
2017-04-27 20:09:24;1290.39;1291.7
2017-04-27 20:09:27;1290.41;1291.7
2017-04-27 20:09:30;1290.42;1291.7
2017-04-27 20:09:33;1290.44;1291.7
2017-04-27 20:09:36;1290.46;1291.7
2017-04-27 20:09:39;1290.48;1291.7
2017-04-27 20:09:42;1289.96;1291.7
2017-04-27 20:09:45;1289.97;1291.7
2017-04-27 20:09:48;1290;1291.7
2017-04-27 20:09:51;1290.02;1291.7
2017-04-27 20:09:54;1290.04;1291.7
2017-04-27 20:09:57;1290.09;1291.7
2017-04-27 20:10:00;1290.1;1291.7
2017-04-27 20:10:03;1290.13;1291.7
2017-04-27 20:10:06;1290.16;1291.7
2017-04-27 20:10:09;1290.17;1291.7
2017-04-27 20:10:12;1290.21;1291.7
2017-04-27 20:10:15;1290.23;1291.7
2017-04-27 20:10:18;1290.26;1291.7
2017-04-27 20:10:21;1290.29;1291.7
2017-04-27 20:10:24;1290.3;1291.7
2017-04-27 20:10:27;1290.34;1291.7
2017-04-27 20:10:30;1290.35;1291.7
2017-04-27 20:10:33;1290.37;1291.7
2017-04-27 20:10:36;1290.39;1291.7
2017-04-27 20:10:39;1290.41;1291.7
2017-04-27 20:10:42;1290.43;1291.7
2017-04-27 20:10:45;1290.45;1291.7
2017-04-27 20:10:48;1290.46;1291.7
2017-04-27 20:10:51;1290.49;1291.7
2017-04-27 20:10:54;1290.51;1291.7
2017-04-27 20:10:57;1290.51;1291.7
2017-04-27 20:11:00;1290.54;1291.7
2017-04-27 20:11:03;1290.55;1291.7
2017-04-27 20:11:06;1290.55;1291.7
2017-04-27 20:11:09;1290.57;1291.7
2017-04-27 20:11:12;1290.59;1291.7
2017-04-27 20:11:15;1290.62;1291.7
2017-04-27 20:11:18;1290.64;1291.7
2017-04-27 20:11:21;1290.66;1291.7
2017-04-27 20:11:24;1290.68;1291.7
2017-04-27 20:11:27;1290.72;1291.71
2017-04-27 20:11:30;1290.75;1291.71
2017-04-27 20:11:33;1290.78;1291.71
2017-04-27 20:11:36;1290.81;1291.71
2017-04-27 20:11:39;1290.85;1291.71
2017-04-27 20:11:42;1290.88;1291.71
2017-04-27 20:11:45;1290.93;1291.71
2017-04-27 20:11:48;1290.96;1291.71
2017-04-27 20:11:51;1290.97;1291.71
2017-04-27 20:11:54;1291.03;1291.71
2017-04-27 20:11:57;1291.03;1291.71
2017-04-27 20:12:00;1291.06;1291.71
2017-04-27 20:12:03;1291.09;1291.71
2017-04-27 20:12:06;1291.09;1291.71
2017-04-27 20:12:09;1291.1;1291.71
2017-04-27 20:12:12;1291.13;1291.71
2017-04-27 20:12:15;1291.43;1291.71
2017-04-27 20:12:18;1291.45;1291.71
2017-04-27 20:12:21;1291.59;1291.71
2017-04-27 20:12:24;1291.63;1291.71
2017-04-27 20:12:27;1289.96;1291.71
2017-04-27 20:12:30;1290.85;1291.71
2017-04-27 20:12:33;1289.98;1291.71
2017-04-27 20:12:36;1290.85;1291.71
2017-04-27 20:12:39;1288.95;1290.81
2017-04-27 20:12:42;1288.96;1290.8
2017-04-27 20:12:45;1289.01;1290.81
2017-04-27 20:12:48;1289.93;1290.81
2017-04-27 20:12:51;1289.96;1290.81
2017-04-27 20:12:54;1289.98;1290.81
2017-04-27 20:12:57;1290;1290.81
2017-04-27 20:13:00;1290.41;1290.81
2017-04-27 20:13:03;1290.42;1290.81
2017-04-27 20:13:06;1290.42;1290.81
2017-04-27 20:13:09;1290.61;1290.81
2017-04-27 20:13:12;1290.63;1290.81
2017-04-27 20:13:15;1290.64;1290.81
2017-04-27 20:13:18;1288.04;1290.81
2017-04-27 20:13:21;1289.44;1290.81
2017-04-27 20:13:24;1290.13;1290.81
2017-04-27 20:13:27;1289.46;1290.81
2017-04-27 20:13:30;1289.47;1290.81
2017-04-27 20:13:33;1289.48;1290.81
2017-04-27 20:13:36;1289.5;1290.81
2017-04-27 20:13:39;1289.52;1290.81
2017-04-27 20:13:42;1289.54;1290.81
2017-04-27 20:13:45;1289.55;1290.81
2017-04-27 20:13:48;1289.56;1290.81
2017-04-27 20:13:51;1289.57;1290.81
2017-04-27 20:13:54;1289.58;1290.81
2017-04-27 20:13:57;1289.6;1290.81
2017-04-27 20:14:00;1289.61;1290.81
2017-04-27 20:14:03;1289.63;1290.81
2017-04-27 20:14:06;1289.64;1290.81
2017-04-27 20:14:09;1289.66;1290.81
2017-04-27 20:14:15;1289.67;1289.95
2017-04-27 20:14:18;1289.68;1289.94
2017-04-27 20:14:21;1289.68;1289.94
2017-04-27 20:14:24;1289.68;1289.94
2017-04-27 20:14:27;1289.68;1289.95
2017-04-27 20:14:30;1289.68;1289.95
2017-04-27 20:14:33;1289.68;1289.95
2017-04-27 20:14:36;1289.68;1289.95
2017-04-27 20:14:39;1289.68;1289.95
2017-04-27 20:14:42;1289.68;1289.95
2017-04-27 20:14:45;1289.68;1289.95
2017-04-27 20:14:48;1289.68;1289.95
2017-04-27 20:14:51;1289.68;1289.95
2017-04-27 20:14:54;1289.68;1289.95
2017-04-27 20:14:57;1289.68;1289.95
2017-04-27 20:15:00;1289.68;1289.95
2017-04-27 20:15:03;1289.68;1289.95
2017-04-27 20:15:06;1288.19;1289.95
2017-04-27 20:15:09;1288.3;1289.95
2017-04-27 20:15:12;1288.32;1289.95
2017-04-27 20:15:15;1288.34;1289.95
2017-04-27 20:15:18;1288.39;1289.95
2017-04-27 20:15:21;1288.4;1289.95
2017-04-27 20:15:24;1288.4;1289.95
2017-04-27 20:15:27;1288.51;1289.95
2017-04-27 20:15:30;1288.57;1289.95
2017-04-27 20:15:33;1288.59;1289.95
2017-04-27 20:15:36;1288.61;1289.95
2017-04-27 20:15:39;1288.62;1289.95
2017-04-27 20:15:42;1288.63;1289.95
2017-04-27 20:15:45;1289.3;1289.95
2017-04-27 20:15:48;1289.94;1289.95
2017-04-27 20:15:51;1289.94;1289.95
2017-04-27 20:15:54;1289.94;1289.95
2017-04-27 20:15:57;1289.94;1289.95
2017-04-27 20:16:00;1289.94;1289.95
2017-04-27 20:16:03;1289.94;1289.95
2017-04-27 20:16:06;1289.94;1289.95
2017-04-27 20:16:09;1289.94;1289.95
2017-04-27 20:16:12;1289.94;1289.95
2017-04-27 20:16:15;1289.94;1289.95
2017-04-27 20:16:18;1289.94;1289.95
2017-04-27 20:16:21;1289.94;1289.95
2017-04-27 20:16:24;1289.94;1289.95
