Datetime;bid;ask
2017-04-27 20:16:27;1289.94;1289.95
2017-04-27 20:16:30;1289.94;1289.95
2017-04-27 20:16:33;1289.94;1289.95
2017-04-27 20:16:36;1289.94;1289.95
2017-04-27 20:16:39;1289.94;1289.95
2017-04-27 20:16:42;1289.94;1289.95
2017-04-27 20:16:45;1289.94;1289.95
2017-04-27 20:16:48;1289.94;1289.95
2017-04-27 20:16:51;1288.21;1289.95
2017-04-27 20:16:54;1288.24;1289.95
2017-04-27 20:16:57;1288.27;1289.95
2017-04-27 20:17:00;1288.33;1289.95
2017-04-27 20:17:03;1288.44;1289.95
2017-04-27 20:17:06;1288.46;1289.95
2017-04-27 20:17:09;1288.51;1289.95
2017-04-27 20:17:12;1288.53;1289.95
2017-04-27 20:17:15;1288.53;1289.95
2017-04-27 20:17:18;1288.53;1289.95
2017-04-27 20:17:21;1288.53;1289.95
2017-04-27 20:17:24;1288.53;1289.95
2017-04-27 20:17:27;1288.53;1289.95
2017-04-27 20:17:30;1288.53;1289.95
2017-04-27 20:17:33;1288.53;1289.95
2017-04-27 20:17:36;1288.19;1289.95
2017-04-27 20:17:39;1288.2;1289.95
2017-04-27 20:17:42;1288.2;1289.95
2017-04-27 20:17:45;1288.2;1289.95
2017-04-27 20:17:48;1288.2;1289.95
2017-04-27 20:17:51;1288.2;1289.95
2017-04-27 20:17:54;1288.2;1289.95
2017-04-27 20:17:57;1288.2;1289.95
2017-04-27 20:18:00;1288.2;1289.95
2017-04-27 20:18:03;1288.21;1289.95
2017-04-27 20:18:06;1288.27;1289.95
2017-04-27 20:18:09;1288.29;1289.95
2017-04-27 20:18:12;1289.12;1289.95
2017-04-27 20:18:15;1289.54;1289.95
2017-04-27 20:18:18;1289.55;1289.95
2017-04-27 20:18:21;1289.55;1289.95
2017-04-27 20:18:24;1289.55;1289.95
2017-04-27 20:18:27;1289.55;1289.95
2017-04-27 20:18:30;1289.55;1289.95
2017-04-27 20:18:33;1288.32;1289.95
2017-04-27 20:18:36;1288.32;1289.95
2017-04-27 20:18:39;1288.32;1289.95
2017-04-27 20:18:42;1288.32;1289.95
2017-04-27 20:18:45;1288.46;1289.95
2017-04-27 20:18:48;1288.46;1289.95
2017-04-27 20:18:51;1288.52;1289.95
2017-04-27 20:18:54;1288.54;1289.95
2017-04-27 20:18:57;1288.58;1289.95
2017-04-27 20:19:00;1288.6;1289.95
2017-04-27 20:19:03;1288.61;1289.95
2017-04-27 20:19:06;1288.62;1289.95
2017-04-27 20:19:09;1288.63;1289.95
2017-04-27 20:19:12;1288.66;1289.95
2017-04-27 20:19:15;1288.69;1289.95
2017-04-27 20:19:18;1288.71;1289.94
2017-04-27 20:19:21;1288.73;1289.94
2017-04-27 20:19:24;1288.76;1289.94
2017-04-27 20:19:27;1288.79;1289.95
2017-04-27 20:19:30;1288.8;1289.95
2017-04-27 20:19:33;1288.82;1289.95
2017-04-27 20:19:36;1288.82;1289.95
2017-04-27 20:19:39;1288.84;1289.95
2017-04-27 20:19:42;1288.86;1289.95
2017-04-27 20:19:45;1289.41;1289.95
2017-04-27 20:19:48;1289.43;1289.95
2017-04-27 20:19:51;1289.94;1289.95
2017-04-27 20:19:54;1289.94;1289.95
2017-04-27 20:19:57;1289.94;1289.95
2017-04-27 20:20:00;1289.94;1289.95
2017-04-27 20:20:03;1289.94;1289.95
2017-04-27 20:20:06;1289.94;1289.95
2017-04-27 20:20:09;1289.94;1289.95
2017-04-27 20:20:12;1288.21;1289.95
2017-04-27 20:20:15;1289.08;1289.95
2017-04-27 20:20:18;1289.1;1289.95
2017-04-27 20:20:21;1289.11;1289.95
2017-04-27 20:20:24;1289.53;1289.95
2017-04-27 20:20:27;1289.54;1289.95
2017-04-27 20:20:30;1289.56;1289.95
2017-04-27 20:20:33;1289.75;1289.95
2017-04-27 20:20:36;1289.77;1289.95
2017-04-27 20:20:39;1289.86;1289.95
2017-04-27 20:20:42;1289.86;1289.95
2017-04-27 20:20:45;1289.86;1289.95
2017-04-27 20:20:48;1289.86;1289.95
2017-04-27 20:20:51;1289.86;1289.95
2017-04-27 20:20:54;1289.86;1289.95
2017-04-27 20:20:57;1289.86;1289.95
2017-04-27 20:21:00;1288.23;1289.95
2017-04-27 20:21:03;1288.25;1289.95
2017-04-27 20:21:06;1288.36;1289.95
2017-04-27 20:21:09;1288.36;1289.95
2017-04-27 20:21:12;1288.36;1289.95
2017-04-27 20:21:15;1288.41;1289.95
2017-04-27 20:21:18;1288.42;1289.95
2017-04-27 20:21:21;1288.44;1289.94
2017-04-27 20:21:24;1288.51;1289.94
2017-04-27 20:21:27;1288.59;1289.94
2017-04-27 20:21:30;1288.61;1289.94
2017-04-27 20:21:33;1288.62;1289.94
2017-04-27 20:21:36;1288.65;1289.95
2017-04-27 20:21:39;1288.66;1289.95
2017-04-27 20:21:42;1288.68;1289.95
2017-04-27 20:21:45;1288.7;1289.95
2017-04-27 20:21:48;1288.73;1289.95
2017-04-27 20:21:51;1288.74;1289.95
2017-04-27 20:21:54;1288.74;1289.95
2017-04-27 20:21:57;1288.77;1289.95
2017-04-27 20:22:00;1288.79;1289.95
2017-04-27 20:22:03;1288.82;1289.95
2017-04-27 20:22:06;1288.82;1289.95
2017-04-27 20:22:09;1288.84;1289.95
2017-04-27 20:22:12;1288.86;1289.95
2017-04-27 20:22:15;1288.87;1289.95
2017-04-27 20:22:18;1288.88;1289.95
2017-04-27 20:22:21;1288.9;1289.94
2017-04-27 20:22:24;1288.91;1289.94
2017-04-27 20:22:27;1288.2;1289.94
2017-04-27 20:22:30;1288.23;1289.95
2017-04-27 20:22:33;1288.26;1289.95
2017-04-27 20:22:36;1288.28;1289.95
2017-04-27 20:22:39;1288.31;1289.95
2017-04-27 20:22:45;1288.44;1289.95
2017-04-27 20:22:48;1288.5;1289.95
2017-04-27 20:22:51;1288.52;1289.95
2017-04-27 20:22:54;1288.53;1289.94
2017-04-27 20:22:57;1288.55;1289.94
2017-04-27 20:23:00;1289.25;1289.94
2017-04-27 20:23:03;1289.25;1289.94
2017-04-27 20:23:06;1289.6;1289.95
2017-04-27 20:23:09;1289.6;1289.95
2017-04-27 20:23:12;1288.22;1289.95
2017-04-27 20:23:15;1288.28;1289.95
2017-04-27 20:23:18;1288.33;1289.95
2017-04-27 20:23:21;1288.35;1289.95
2017-04-27 20:23:24;1288.36;1289.95
2017-04-27 20:23:27;1288.36;1289.95
2017-04-27 20:23:30;1288.45;1289.95
2017-04-27 20:23:33;1288.46;1289.95
2017-04-27 20:23:36;1288.46;1289.95
2017-04-27 20:23:39;1288.46;1289.95
2017-04-27 20:23:42;1288.46;1289.95
2017-04-27 20:23:45;1288.46;1289.95
2017-04-27 20:23:48;1288.46;1289.95
2017-04-27 20:23:51;1288.46;1289.95
2017-04-27 20:23:54;1288.46;1289.95
2017-04-27 20:23:57;1288.46;1289.95
2017-04-27 20:24:00;1288.19;1289.95
2017-04-27 20:24:03;1288.22;1289.95
2017-04-27 20:24:06;1288.22;1289.95
2017-04-27 20:24:09;1288.27;1289.95
2017-04-27 20:24:12;1288.29;1289.95
2017-04-27 20:24:15;1288.3;1289.95
2017-04-27 20:24:18;1288.31;1289.95
2017-04-27 20:24:21;1288.36;1289.95
2017-04-27 20:24:24;1288.36;1289.95
2017-04-27 20:24:27;1288.36;1289.95
2017-04-27 20:24:30;1288.46;1289.95
2017-04-27 20:24:33;1288.47;1289.95
2017-04-27 20:24:36;1288.48;1289.95
2017-04-27 20:24:39;1288.54;1289.95
2017-04-27 20:24:42;1288.56;1289.95
2017-04-27 20:24:45;1289.93;1289.95
2017-04-27 20:24:48;1289.94;1289.95
2017-04-27 20:24:51;1289.94;1289.95
2017-04-27 20:24:54;1289.94;1289.95
2017-04-27 20:24:57;1289.94;1289.95
2017-04-27 20:25:00;1289.94;1289.95
2017-04-27 20:25:03;1289.94;1289.95
2017-04-27 20:25:06;1289.94;1289.95
2017-04-27 20:25:09;1289.94;1289.95
2017-04-27 20:25:12;1289.94;1289.95
2017-04-27 20:25:15;1289.94;1289.95
2017-04-27 20:25:18;1289.94;1289.95
2017-04-27 20:25:21;1289.94;1289.95
2017-04-27 20:25:24;1289.94;1289.95
2017-04-27 20:25:27;1289.94;1289.95
2017-04-27 20:25:30;1289.94;1289.95
2017-04-27 20:25:33;1289.94;1289.95
2017-04-27 20:25:36;1289.94;1289.95
2017-04-27 20:25:39;1289.94;1289.95
2017-04-27 20:25:42;1289.94;1289.95
2017-04-27 20:25:45;1289.94;1289.95
2017-04-27 20:25:48;1289.94;1289.95
2017-04-27 20:25:51;1289.94;1289.95
2017-04-27 20:25:54;1289.94;1289.95
2017-04-27 20:25:57;1289.94;1289.95
2017-04-27 20:26:00;1289.94;1289.95
2017-04-27 20:26:03;1289.94;1289.95
2017-04-27 20:26:06;1289.94;1289.95
2017-04-27 20:26:09;1289.94;1289.95
2017-04-27 20:26:12;1289.94;1289.95
2017-04-27 20:26:15;1289.94;1289.95
2017-04-27 20:26:18;1289.94;1289.95
2017-04-27 20:26:21;1289.94;1289.95
2017-04-27 20:26:24;1289.94;1289.95
2017-04-27 20:26:27;1289.94;1289.95
2017-04-27 20:26:30;1289.94;1289.95
2017-04-27 20:26:33;1289.94;1289.95
2017-04-27 20:26:36;1289.94;1289.95
2017-04-27 20:26:39;1289.94;1289.95
2017-04-27 20:26:42;1289.94;1289.95
2017-04-27 20:26:45;1289.94;1289.95
2017-04-27 20:26:48;1289.94;1289.95
2017-04-27 20:26:51;1289.94;1289.95
2017-04-27 20:26:54;1289.94;1289.95
2017-04-27 20:26:57;1289.94;1289.95
2017-04-27 20:27:00;1289.94;1289.95
2017-04-27 20:27:03;1289.94;1289.95
2017-04-27 20:27:06;1289.94;1289.95
2017-04-27 20:27:09;1289.94;1289.95
2017-04-27 20:27:12;1289.94;1289.95
2017-04-27 20:27:15;1289.94;1289.95
2017-04-27 20:27:18;1289.94;1289.95
2017-04-27 20:27:21;1289.94;1289.95
2017-04-27 20:27:24;1289.94;1289.95
2017-04-27 20:27:27;1289.94;1289.95
2017-04-27 20:27:30;1289.94;1289.95
2017-04-27 20:27:33;1289.94;1289.95
2017-04-27 20:27:36;1289.94;1289.95
2017-04-27 20:27:39;1289.95;1290.81
2017-04-27 20:27:42;1290.8;1290.81
2017-04-27 20:27:45;1290.8;1290.81
2017-04-27 20:27:48;1290.8;1290.81
2017-04-27 20:27:51;1290.8;1290.81
2017-04-27 20:27:54;1290.8;1290.81
2017-04-27 20:27:57;1290.8;1290.81
2017-04-27 20:28:00;1290.8;1290.81
2017-04-27 20:28:03;1290.8;1290.81
2017-04-27 20:28:06;1290.8;1290.81
2017-04-27 20:28:09;1290.8;1290.81
2017-04-27 20:28:12;1290.8;1290.81
2017-04-27 20:28:15;1290.8;1290.81
2017-04-27 20:28:18;1290.8;1290.81
2017-04-27 20:28:21;1290.8;1290.81
2017-04-27 20:28:24;1290.8;1290.81
2017-04-27 20:28:27;1290.8;1290.81
2017-04-27 20:28:30;1290.8;1290.81
2017-04-27 20:28:33;1290.8;1290.81
2017-04-27 20:28:36;1290.8;1290.81
2017-04-27 20:28:39;1290.8;1290.81
2017-04-27 20:28:42;1290.8;1290.81
2017-04-27 20:28:45;1290.8;1290.81
2017-04-27 20:28:48;1291;1291.71
2017-04-27 20:28:51;1291.37;1291.71
2017-04-27 20:28:54;1291.7;1291.71
2017-04-27 20:28:57;1291.7;1291.71
2017-04-27 20:29:00;1291.7;1291.71
2017-04-27 20:29:03;1291.7;1291.71
2017-04-27 20:29:06;1291.7;1291.71
2017-04-27 20:29:09;1291.7;1291.71
2017-04-27 20:29:12;1291.7;1291.71
2017-04-27 20:29:15;1291.7;1291.71
2017-04-27 20:29:18;1291.7;1291.71
2017-04-27 20:29:21;1291.7;1291.71
2017-04-27 20:29:24;1291.7;1291.71
2017-04-27 20:29:27;1291.7;1291.71
2017-04-27 20:29:30;1291.7;1291.71
2017-04-27 20:29:33;1291.7;1291.71
2017-04-27 20:29:36;1291.7;1291.71
2017-04-27 20:29:39;1291.7;1291.71
2017-04-27 20:29:42;1291.7;1291.71
2017-04-27 20:29:45;1291.7;1291.71
2017-04-27 20:29:48;1291.7;1291.71
2017-04-27 20:29:51;1291.7;1291.71
2017-04-27 20:29:54;1291.7;1291.71
2017-04-27 20:29:57;1291.7;1291.71
2017-04-27 20:30:00;1291.7;1291.71
2017-04-27 20:30:03;1291.7;1291.71
2017-04-27 20:30:06;1291.7;1291.71
2017-04-27 20:30:09;1291.7;1291.71
2017-04-27 20:30:12;1291.7;1291.71
2017-04-27 20:30:15;1291.7;1291.71
2017-04-27 20:30:18;1291.7;1291.71
2017-04-27 20:30:21;1291.7;1291.71
2017-04-27 20:30:24;1291.71;1292.59
2017-04-27 20:30:27;1292.15;1292.59
2017-04-27 20:30:30;1292.16;1292.59
2017-04-27 20:30:33;1292.16;1292.59
2017-04-27 20:30:36;1292.37;1292.59
2017-04-27 20:30:39;1292.38;1292.59
2017-04-27 20:30:42;1292.38;1292.59
2017-04-27 20:30:45;1292.38;1292.59
2017-04-27 20:30:48;1292.48;1292.59
2017-04-27 20:30:51;1291.71;1292.59
2017-04-27 20:30:54;1291.71;1292.59
2017-04-27 20:30:57;1291.71;1292.59
2017-04-27 20:31:00;1291.71;1292.59
2017-04-27 20:31:03;1292.15;1292.59
2017-04-27 20:31:06;1292.16;1292.59
2017-04-27 20:31:09;1292.16;1292.59
2017-04-27 20:31:12;1292.37;1292.59
2017-04-27 20:31:15;1292.48;1292.59
2017-04-27 20:31:24;1291.71;1292.59
2017-04-27 20:31:27;1291.71;1292.59
2017-04-27 20:31:30;1291.71;1292.59
2017-04-27 20:31:33;1291.71;1292.59
2017-04-27 20:31:36;1291.71;1292.59
2017-04-27 20:31:39;1291.71;1292.59
2017-04-27 20:31:42;1291.71;1292.59
2017-04-27 20:31:45;1291.71;1292.59
2017-04-27 20:31:48;1291.71;1292.59
2017-04-27 20:31:51;1291.71;1292.59
2017-04-27 20:31:54;1291.71;1292.59
2017-04-27 20:31:57;1291.71;1292.59
2017-04-27 20:32:00;1291.71;1292.59
2017-04-27 20:32:03;1291.71;1292.59
2017-04-27 20:32:06;1291.71;1292.59
2017-04-27 20:32:09;1291.71;1292.59
2017-04-27 20:46:27;1293.75;1295.13
2017-04-27 20:46:30;1293.75;1295.11
2017-04-27 20:46:33;1293.75;1295.11
2017-04-27 20:46:36;1293.75;1295.1
2017-04-27 20:46:39;1293.75;1295.1
2017-04-27 20:46:42;1293.75;1295.09
2017-04-27 20:46:45;1293.75;1295.09
2017-04-27 20:46:48;1293.75;1295.09
2017-04-27 20:46:51;1293.75;1295.09
2017-04-27 20:46:54;1293.75;1295.09
2017-04-27 20:46:57;1293.75;1295.09
2017-04-27 20:47:00;1293.75;1295.09
2017-04-27 20:47:03;1293.75;1295.09
2017-04-27 20:47:06;1293.77;1295.09
2017-04-27 20:47:09;1294.43;1295.09
2017-04-27 20:47:12;1294.43;1295.09
2017-04-27 20:47:15;1294.43;1295.09
